name,origin,first_touch_date,incorporated_date,icorps_inv_date,icorps_end_date,gra_1_inv_date,gra_2_inv_date,gra_3_inv_date,sbir_inv_date,total_investments
Intelligent Access,GTRI,2009-09-21,,,,2009-10-26,,,,50000.0
XFCT Systems,School of Mechanical Engineering,2009-11-23,,,,2010-01-27,,,,35000.0
Assistive Device Integrated Input,School of Psychology,2013-11-11,,2014-04-01,2014-09-30,,,,,50000.0
Dexteriat,College of Computing,2015-12-04,,,2016-05-24,,,,,50000.0
Adaptive Flight,School of Aerospace Engineering,2006-08-01,,,,2006-08-01,,2009-03-09,,700000.0
WEAV3D,Georgia Tech Manufacturing Institute,2016-02-11,,,2016-08-29,2016-03-28,,,,82173.0
Elastic Video Compression,School of Electrical and Computer Engineering,2006-10-01,,,,2006-10-01,,,,50000.0
Prana Biotech,Department of Biomedical Engineering,2012-07-25,2012-05-08,,,2012-08-08,,,,61000.0
Paul Fang - Prostate Diagnostic,School of Chemistry & Biochemistry,2016-03-10,,,,,,,,1500000.0
C2 Biofuels,School of Chemical and Biomolecular Engineering,2006-07-01,,,,,,,,1275000.0
Nouvou,School of Computer Science,2011-06-06,2011-11-30,,,2011-07-19,,,,24200.0
Eagle Eye Networks,School of Computer Science,2006-01-01,,,,2006-01-01,2006-10-01,,,60000.0
Damballa,College of Computing,2006-01-01,,,,2006-01-01,,,,57570000.0
Sentrinsic,School of Mechanical Engineering,2006-01-01,,,,2006-01-01,2006-08-01,,,1300000.0
Usable Health,College of Computing,2008-04-23,2009-09-04,,,2009-07-29,2012-04-05,,,140410.0
Custom Vision,School of Mechanical Engineering,2006-08-01,,,,2006-08-01,,,,125000.0
Epigenetic DNA Sensor,,2014-05-15,,,,2014-08-20,,,,50000.0
Nuventix,School of Mechanical Engineering,2005-01-01,,,,,,,,15107000.0
Optical Surveyor,School of Civil and Environmental Engineering,2011-12-02,,2012-04-01,,2012-02-27,,,,100000.0
Wi-Sense,GTRI,2016-02-01,2013-07-26,,2016-08-01,,,,2016-02-01,190000.0
Tepyt Technologies,School of Electrical and Computer Engineering,2008-04-06,,,,2008-11-20,,,,62670.0
DiagIS,College of Computing,2006-08-01,,,,2006-08-01,,,2006-10-01,150000.0
FullScaleNANO,School of Electrical and Computer Engineering,2013-07-01,2012-03-08,,,2014-08-20,,,,217000.0
Reusable Ammonia Filtration,School of Chemical and Biomolecular Engineering,2015-03-10,,,2016-03-04,2015-05-21,,,,99619.0
FraudScope,College of Computing,2016-02-11,2015-11-30,,,,,,,300000.0
LED Ultraviolet Water Purification,School of Electrical and Computer Engineering,2013-04-01,,,,,,,,10000.0
Goldeneye,,2000-01-01,,,,,,,,10000.0
Lymphatec,School of Mechanical Engineering,2013-11-12,2014-08-26,,,2015-02-16,,,,130197.0
Medivity,School of Mechanical Engineering,2009-11-23,,,,2009-12-10,,,,50000.0
Whisper Communications,School of Electrical and Computer Engineering,2008-04-23,,,,2009-08-31,2011-01-03,2011-08-08,,497500.0
InfoBay,School of Electrical and Computer Engineering,2008-08-22,,,,2008-09-15,,,,50000.0
Regeneration Matrix,Department of Biomedical Engineering,2008-03-31,,,,,2008-11-20,,,100000.0
StarMobile,School of Electrical and Computer Engineering,2011-09-07,2013-10-11,,,2011-10-20,2012-07-16,2012-02-20,2012-07-01,4549825.0
Cognosos,School of Electrical and Computer Engineering,2012-02-22,2014-06-24,,,,2014-10-22,,,426910.0
Quest Renewables,GTRI,2014-06-30,2013-07-01,,,,2015-07-13,,,1447500.0
DHX Electric Machines,School of Mechanical Engineering,2013-07-15,2014-01-14,,,2013-10-03,,,,626971.0
Zeerive,School of Computer Science,2008-03-31,,,,,,,,50000.0
TovBot,School of Music,2012-09-18,2012-02-06,,,2012-12-18,,,,25000.0
VQLink,School of Electrical and Computer Engineering,2006-12-01,,,,2006-12-01,,2009-08-31,,1050000.0
Pindrop Security,College of Computing,2011-06-02,2011-05-06,,,2011-07-19,2012-02-21,2012-12-12,,122550000.0
Qoil,School of Mechanical Engineering,2008-04-03,,,,,,,,50000.0
Cartiza,,2007-01-01,,,,,,,,50000.0
InterCAX,Georgia Tech Manufacturing Institute,2005-01-01,,,,,2009-02-05,,2009-01-01,682588.0
Sila Nanotechnologies,School of Materials Science and Engineering,2010-05-13,2011-08-15,,,,2010-07-21,,2012-07-01,8725000.0
Khush,School of Architecture,2009-09-21,,,,2009-10-26,2011-02-23,,,349980.0
SCADA / ICS Device Fingerprinting,School of Electrical and Computer Engineering,2016-01-29,,2016-06-14,2017-01-18,,,,,50000.0
Security Axioms,College of Computing,2009-10-26,,,,2009-10-26,2012-02-27,,2012-07-01,620982.0
Asankya,School of Electrical and Computer Engineering,2005-01-01,,,,2005-01-01,2006-01-01,,,3150000.0
Clearside Biomedical,School of Chemical and Biomolecular Engineering,2010-11-22,2011-08-25,,,2011-01-03,,,,97976000.0
Lumense,GTRI,2008-11-14,2013-11-04,,,,2011-09-06,2013-02-20,,3108500.0
Swarming Robots,School of Electrical and Computer Engineering,2013-11-11,2015-02-02,2014-04-01,2014-09-30,2015-01-13,,,,75000.0
GrapheneWorks,School of Physics,2008-07-28,,,,,,,2009-01-01,100000.0
CoolClouds,School of Mechanical Engineering,2009-03-30,,,,2009-07-29,2010-09-13,,,150000.0
E-System Design,School of Electrical and Computer Engineering,2005-01-01,,,,2005-01-01,2006-08-01,2010-01-28,,652000.0
Sinoora,School of Electrical and Computer Engineering,2011-01-25,2011-03-04,,,2011-04-04,,,,125000.0
WPT-EnerCage,School of Electrical and Computer Engineering,2014-04-01,,2014-04-01,2014-09-30,,,,,50000.0
SoftWear Automation,School of Mechanical Engineering,2008-03-31,2007-04-27,,,2012-02-27,2014-05-03,,,3202520.0
4D Imaging,,2005-01-01,,,,,2006-01-01,,,138000.0
Atomic Force Microscope Probe,School of Mechanical Engineering,2008-03-31,,,,2009-02-05,,,,50000.0
Sonar Optical IV Catheter,School of Electrical and Computer Engineering,2016-01-07,,,,,,,2016-01-07,200000.0
Inmondo Tech,School of Chemical and Biomolecular Engineering,2013-01-01,2013-04-11,2013-01-01,2013-07-05,2013-10-03,,,,98314.0
Radatec,GTRI,2005-01-01,,,,,,,,11420000.0
SpherIngenics,Department of Biomedical Engineering,2008-03-31,,,,2008-11-20,2011-11-07,,,149750.0
Nano Particle Drug Delivery - Susan Thomas,School of Mechanical Engineering,2015-11-04,,,,,,,,55000.0
Mavric Semiconductor,School of Electrical and Computer Engineering,2013-04-01,2013-06-04,2013-04-01,2013-09-30,2014-02-07,,,2014-01-01,372000.0
AlpZhi,School of Mechanical Engineering,2010-05-14,2009-11-20,,,2010-07-21,2011-08-23,,,348389.0
AnovaTec,School of Mechanical Engineering,2014-02-12,2014-12-23,2014-07-01,2014-12-31,2015-07-23,,,,165500.0
Emrgy,School of Civil and Environmental Engineering,2016-05-02,,,,,,,,850000.0
Jacket Micro Devices,School of Electrical and Computer Engineering,2004-07-01,,,,2005-01-01,,,,20250000.0
Cobot,College of Computing,2008-10-30,,,,2008-11-20,,,,50000.0
Oncome,School of Applied Biological Sciences,2014-05-19,,,,2014-08-20,,,,84750.0
RadioMEMS,School of Electrical and Computer Engineering,2008-03-31,,,,,,,,60000.0
HQVideo,School of Electrical and Computer Engineering,2008-10-27,,,,2009-01-08,,,,25000.0
LIASSID,School of Electrical and Computer Engineering,2016-05-31,,,,,,,,22071.0
Simatra Modeling Technologies,School of Civil and Environmental Engineering,2007-01-01,,,,,,,2007-01-01,1752281.0
AdeptDC,School of Mechanical Engineering,2014-02-03,2014-10-10,2014-07-01,2014-12-31,2014-08-20,,,,250000.0
Chitin Food Packaging,School of Chemical and Biomolecular Engineering,2014-08-29,,,,2015-03-20,,,,50391.0
Polyketals,Department of Biomedical Engineering,2007-07-01,,,,,,,,25000.0
Transmium,Department of Biomedical Engineering,2008-03-31,,,,,,,,25000.0
Artificial Platelets,Department of Biomedical Engineering,2013-07-15,,,,2014-03-10,,,,6000.0
MedShape,School of Materials Science and Engineering,2006-01-01,,,,2006-01-01,2006-08-01,2009-03-27,,26326777.0
Suniva,School of Electrical and Computer Engineering,2007-04-01,,,,,,,,282860000.0
Mobile Monitoring of Neurological Disorders,School of Electrical and Computer Engineering,2013-11-08,,,,,,,,25000.0
CybaSense,School of Electrical and Computer Engineering,2010-05-14,,,,2010-09-13,,,,24997.0
Qcept,School of Mechanical Engineering,2002-06-30,,,,,,,,41620001.0
Verificon,School of Electrical and Computer Engineering,2008-01-01,,,,,,,,270000.0
Swamp Optics,School of Physics,2014-07-18,2001-10-12,,,,2014-09-11,,,150000.0
Ample Biometrics,,2015-01-01,,,,,,,,5000.0
Bionic Sciences,School of Electrical and Computer Engineering,2013-07-15,2012-07-17,,,2013-10-03,,,,249888.0
Kidney Injury Dysfunction Support (KIDS),Department of Biomedical Engineering,2014-02-10,,,,2014-07-10,,,,200000.0
General Genomics,School of Applied Biological Sciences,2010-11-12,2010-10-06,,,2010-11-12,2014-03-10,,,616735.0
Molecular Imaging,Department of Biomedical Engineering,2005-01-01,,,,2005-01-01,,,,50000.0
Stheno,School of Physics,2008-04-04,,,,,,,,800000.0
MoQuality,College of Computing,2014-05-15,2015-11-15,2015-04-01,2015-09-30,2014-08-15,,,,299877.0
Soneter,School of Electrical and Computer Engineering,2010-08-18,2010-04-08,,,2010-09-13,2012-02-20,2013-04-29,,6544500.0
Rapid discovery of anti-viral drug against Ebola,School of Applied Biological Sciences,2015-08-19,,,,2015-08-19,,,,13338.0
Skytree Analytics,College of Computing,2008-11-26,2011-08-15,,,,,,,21508000.0
Digital Vision,GTRI,2009-09-21,,,,,2010-03-23,2011-12-13,,350000.0
Ultra-high energy density sol-gel ultracaps,School of Chemistry & Biochemistry,2016-01-07,,,,,,,,25000.0
IC Probing Interface,School of Electrical and Computer Engineering,2015-10-25,,,2016-02-23,,,,,50000.0
Qualtre,School of Electrical and Computer Engineering,2006-01-01,,,,2006-01-01,2006-08-01,,,15500000.0
CellectCell,School of Mechanical Engineering,2014-02-10,2015-02-13,,,2014-07-14,2015-09-10,,,219775.0
Piezodyne,School of Materials Science and Engineering,2006-08-01,,,,2006-08-01,,,,75000.0
Eleon Power,School of Chemistry & Biochemistry,2006-01-01,,,,,,,,1127000.0
Cognopsi,College of Computing,2015-07-01,,2015-07-01,2015-12-31,,,,,121000.0
AxoTect,School of Chemistry & Biochemistry,2006-01-01,,,,,2006-01-01,2010-11-17,,549979.0
Vivonetics,Department of Biomedical Engineering,2003-06-30,,,,,,,2003-06-30,1948000.0
Tissue Interrogation Device,Department of Biomedical Engineering,2009-11-23,,,,2010-08-04,,,,70000.0
Carbice,School of Mechanical Engineering,2012-05-31,2012-01-30,,,2012-07-16,2015-02-18,,2014-11-01,577101.0
LSQ,College of Computing,2012-11-20,,2013-04-01,2013-09-30,,,,,50000.0
Clean Hands Safe Hands,Department of Biomedical Engineering,2013-11-08,2013-06-17,,,2014-04-11,2014-09-10,2015-05-07,,380000.0
RelMaster,School of Electrical and Computer Engineering,2015-12-04,,,,,,,,25000.0
InSiAva,School of Electrical and Computer Engineering,2006-12-01,,,,2006-12-01,,,,50000.0
Verco Materials,School of Materials Science and Engineering,2005-01-01,,,,2005-01-01,2006-01-01,,,4135000.0
